YEAR,date,lat,lon,UID,SITE_ID,STATE,LOC_NAME,SITE_CLASS,AGGR_ECO3_2015,AGGR_ECO9_2015,ECO10,US_L3CODE_2015,US_L4CODE_2015,EPA_REG,WSAREA_NARS,tmean_day,ppt_day,tmean_year,ppt_year
2008,2008-06-18,39.89246561,-105.0565383,11087,FW08CO014,CO,Big Dry Creek,PROB,PLNLOW,SPL,PL-NCULT,25,25d,8,92.82720184,23.498001098632813,0,10.816374778747559,349.5299987792969
2008,2008-06-18,40.81470323,-115.8061406,10900,FW08NV031,NV,Unnamed Ditch,PROB,WMTNS,XER,XE-SOUTH,13,13m,9,7496.430176,18.402000427246094,0,7.4676666259765625,212.8300018310547
2008,2008-06-18,40.06407859,-82.53392123,12428,FW08OH005,OH,Raccoon Creek,PROB,EHIGH,NAP,NA,61,61c,5,212.7920074,16.321001052856445,0,9.840374946594238,1205.4200439453125
2008,2008-06-18,39.08720874,-95.29023053,12762,FW08RKS9999,KS,Buck Creek,HAND,PLNLOW,TPL,NA,40,40b,7,43.10639954,20.948001861572266,2.4800000190734863,11.0895414352417,1142.77001953125
2008,2008-06-18,43.51662703,-104.8413716,12238,FW08WY058,WY,Cheyenne River,PROB,PLNLOW,NPL,PL-RANGE,43,43w,8,4414.740234,20.68000030517578,0,7.531500339508057,361.8500061035156
2008,2008-06-19,38.45405985,-81.78074814,12570,FW08WV029,WV,Pocatalico River,PROB,EHIGH,SAP,NA,70,70b,3,854.5599976,17.863000869750977,0.1899999976158142,12.341375350952148,1102.719970703125
2008,2008-06-20,43.53070043,-104.1010111,12229,FW08WY046,WY,Beaver Creek,PROB,PLNLOW,NPL,PL-RANGE,43,43g,8,3544.959961,19.34600067138672,1.6699999570846558,7.878666400909424,420.4200134277344
2008,2008-06-23,46.53464017,-100.4417819,12016,FW08ND032,ND,Badger Creek,PROB,PLNLOW,NPL,PL-RANGE,43,43c,8,106.5879974,19.22100067138672,0,4.913749694824219,483.7699890136719
2008,2008-06-23,39.69271043,-84.23253925,12450,FW08OH031,OH,Great Miami River,PROB,PLNLOW,TPL,NA,55,55b,5,6742.77002,20.023000717163086,4.809999942779541,11.310791969299316,1141.969970703125
2008,2008-06-23,39.54454681,-95.7311285,12761,FW08RKS9888,KS,Straight Creek,HAND,PLNLOW,TPL,PL-NCULT,47,47i,7,58.66030121,22.685001373291016,0,10.580458641052246,1036.6600341796875
2008,2008-06-24,33.7605511,-116.5497488,11935,FW08CA001,CA,Andreas Canyon,PROB,WMTNS,XER,XE-SOUTH,81,81e,9,22.60350037,32.579002380371094,0,22.44904136657715,181.8300018310547
2008,2008-06-24,41.41766741,-116.0342696,10875,FW08NV006,NV,Snow Creek,PROB,WMTNS,XER,XE-NORTH,80,80j,9,22.83609962,16.093000411987305,0,5.995874881744385,359.6000061035156
2008,2008-06-24,41.95776506,-115.863833,10963,FW08NV053,NV,Salmon,PROB,WMTNS,XER,XE-NORTH,80,80j,9,7.226099968,16.24700164794922,0,5.8917083740234375,513.71002197265625
2008,2008-06-24,34.34591923,-96.69947948,13069,FW08OK080,OK,Pennington Creek,PROB,PLNLOW,SPL,NA,29,29g,6,184.2460022,26.35700035095215,0,16.403457641601563,869.6600341796875
2008,2008-06-24,41.48977821,-111.2582292,12266,FW08UT080,UT,Woodruff Creek,PROB,WMTNS,XER,XE-EPLAT,18,18d,8,166.1100006,17.082000732421875,0,3.5337915420532227,308.25
2008,2008-06-24,44.21421333,-72.96547209,11136,FW08VT005,VT,Huntington River,PROB,EHIGH,NAP,NA,58,58c,1,11.7670002,15.723000526428223,10.989999771118164,5.2569169998168945,1494.050048828125
2008,2008-06-24,38.32991799,-81.58526801,12556,FW08WV013,WV,Kanawha River,PROB,EHIGH,SAP,NA,69,69d,3,23022.40039,20.66200065612793,3.609999895095825,12.639708518981934,1157.9100341796875
2008,2008-06-25,39.6484796,-77.18088663,11474,FW08MD004,MD,Tributary to Piney Creek,PROB,EHIGH,SAP,NA,64,64a,3,1.25909996,20.25800132751465,0,11.674833297729492,1178.8900146484375
2008,2008-06-25,46.79972003,-101.1068409,12023,FW08ND028,ND,Sweetbriar Creek,PROB,PLNLOW,NPL,PL-RANGE,43,43c,8,696.3099976,20.845001220703125,1.5499999523162842,4.994958400726318,476.2799987792969
2008,2008-06-25,41.80682461,-115.7046045,10886,FW08NV010,NV,Meadow Creek,PROB,WMTNS,XER,XE-NORTH,80,80j,9,16.6996994,16.52400016784668,0,5.923666954040527,425.66998291015625
2008,2008-06-25,41.21398709,-116.3987168,10887,FW08NV011,NV,Bull Camp Creek,PROB,WMTNS,XER,XE-SOUTH,13,13m,9,14.47049999,17.994001388549805,0,7.010791301727295,243.35000610351562
2008,2008-06-25,39.74752967,-82.77872819,12427,FW08OH004,OH,Little Walnut Creek,PROB,PLNLOW,TPL,NA,55,55b,5,3.516299963,20.817001342773438,0,10.968208312988281,1151.510009765625
2008,2008-06-25,35.96545355,-96.36807122,13068,FW08OK061,OK,Polecat Creek,PROB,PLNLOW,SPL,NA,29,29a,6,151.1790009,26.766000747680664,0,14.885958671569824,1083.0799560546875
2008,2008-06-25,39.10655601,-96.60643503,12805,FW08RKS9777,KS,Kings Creek,HAND,PLNLOW,TPL,NA,28,28a,7,15.96679974,26.07600212097168,0.9100000262260437,11.524791717529297,1094.9200439453125
2008,2008-06-25,41.62460181,-111.7298982,12257,FW08UT028,UT,Blacksmith Fork,PROB,WMTNS,WMT,MT-SROCK,19,19f,8,677.6719971,19.757001876831055,0,6.084208011627197,659.3499755859375
2008,2008-06-25,38.81709494,-82.10041106,12557,FW08WV014,WV,Kanawha River,PROB,EHIGH,SAP,NA,70,70b,3,31697.40039,20.881000518798828,0,11.916500091552734,1190.469970703125
2008,2008-06-26,39.64269107,-78.4987201,11491,FW08MD003,MD,White Sulfur Run,PROB,EHIGH,SAP,NA,67,67d,3,0.571500003,21.959001541137695,0.33000001311302185,10.778916358947754,1044.0799560546875
2008,2008-06-26,46.74676239,-100.7427914,12030,FW08ND044,ND,Apple Creek,PROB,PLNLOW,NPL,PL-RANGE,42,42b,8,4204.129883,22.1560001373291,0,5.252124786376953,475.3399963378906
2008,2008-06-26,40.74129868,-115.5543686,10889,FW08NV014,NV,Spring Creek,PROB,WMTNS,XER,XE-SOUTH,13,13m,9,20.89100075,18.358001708984375,0,5.920666694641113,282.79998779296875
2008,2008-06-26,41.87729618,-115.6285161,10927,FW08NV037,NV,Bruneau River,PROB,WMTNS,XER,XE-NORTH,80,80j,9,776.1939697,18.170000076293945,0,6.901708126068115,304.44000244140625
2008,2008-06-27,41.01579472,-116.0832885,10890,FW08NV015,NV,Taylor Creek,PROB,WMTNS,XER,XE-SOUTH,13,13m,9,3.567960024,18.16900062561035,0,7.123167037963867,308.1600036621094
2008,2008-06-28,32.46103578,-94.70198008,11153,FW08TX045,TX,Unnamed,PROB,PLNLOW,CPL,NA,35,35a,6,21.01239967,28.280000686645508,0,18.29566764831543,1394.0699462890625
2008,2008-06-30,39.2413809,-104.9580488,11085,FW08CO012,CO,West Plum Creek,PROB,WMTNS,WMT,MT-SROCK,21,21d,8,54.43809891,18.617000579833984,0,8.491541862487793,383
2008,2008-06-30,45.95828509,-103.1202439,12018,FW08ND034,ND,North Fork Grand River,PROB,PLNLOW,NPL,PL-RANGE,43,43a,8,1368.099976,18.368000030517578,0,5.26533317565918,366.3599853515625
2008,2008-06-30,39.08215943,-119.7573042,10954,FW08NV040,NV,Carson River,PROB,WMTNS,XER,XE-SOUTH,13,13aa,9,1851.920044,22.18800163269043,0,10.412583351135254,133.08999633789062
2008,2008-06-30,33.06838281,-94.46843757,11145,FW08TX011,TX,Flat Creek,PROB,PLNLOW,CPL,NA,35,35a,6,64.05169678,24.024002075195313,1.4199999570846558,17.69904136657715,1322.070068359375
2008,2008-07-01,39.38895974,-104.8672149,11089,FW08CO019,CO,East Plum Creek,PROB,PLNLOW,SPL,PL-RANGE,26,26i,8,270.8039856,21.985000610351563,0,9.124792098999023,382.1400146484375
2008,2008-07-01,34.24605238,-84.68608632,11326,FW08GA001,GA,Stamp Creek,PROB,EHIGH,SAP,NA,66,66g,4,34.48519897,20.733001708984375,0,15.32670783996582,1175.3599853515625
2008,2008-07-01,43.60292561,-115.5733393,12838,FW08ID036,ID,Rattlesnake Creek,PROB,WMTNS,WMT,MT-NROCK,16,16k,10,15.06919956,21.69700050354004,0,5.610833168029785,713.030029296875
2008,2008-07-01,41.6946525,-85.91740108,11184,FW08IN009,IN,St. Joseph River,PROB,PLNLOW,UMW,NA,56,56b,5,6551.52002,16.44099998474121,0,9.044541358947754,1179.2099609375
2008,2008-07-01,41.60258314,-86.11116261,11197,FW08IN029,IN,Rogers Ditch,PROB,PLNLOW,UMW,NA,56,56b,5,10.95839977,16.692001342773438,0,9.01895809173584,1122.0400390625
2008,2008-07-01,39.59669875,-79.08394335,11476,FW08MD007,MD,Savage River,PROB,EHIGH,SAP,NA,67,67d,3,95.03549957,17.68000030517578,2.5399999618530273,8.54991626739502,1267.570068359375
2008,2008-07-01,43.31096671,-83.96788131,11206,FW08MI028,MI,Flint River,PROB,PLNLOW,TPL,NA,57,57e,5,3017.290039,16.841001510620117,0,8.20687484741211,965.27001953125
2008,2008-07-01,47.08177722,-111.5943272,11511,FW08MT014,MT,Squaw Creek,PROB,WMTNS,WMT,MT-NROCK,17,17r,8,20.32250023,22.95800018310547,0.6600000262260437,5.53095817565918,438.4700012207031
2008,2008-07-01,46.4179424,-103.5123702,11957,FW08ND026,ND,Deep Creek,PROB,PLNLOW,NPL,PL-RANGE,43,43b,8,498.8070068,24.26700210571289,0,5.624917030334473,234.05999755859375
2008,2008-07-01,39.20075374,-119.6299202,10965,FW08NV056,NV,Carson River,PROB,WMTNS,XER,XE-SOUTH,13,13x,9,2144.810059,21.5570011138916,0,10.77662467956543,179.82000732421875
2008,2008-07-01,37.87068546,-91.92974504,12764,FW08RMO9006,MO,Mill Creek,HAND,EHIGH,SAP,NA,39,39e,7,90.55770111,20.255001068115234,0,11.90929126739502,1754.0799560546875
2008,2008-07-01,43.94606478,-72.71105066,11134,FW08VT003,VT,Third Branch White River,PROB,EHIGH,NAP,NA,58,58c,1,120.1190033,19.16200065612793,0,6.084791660308838,1391.02001953125
2008,2008-07-02,39.34428,-104.9728388,11084,FW08CO010,CO,Plum Creek,PROB,PLNLOW,SPL,PL-RANGE,26,26i,8,185.8769989,21.757001876831055,0,8.964958190917969,417.8999938964844
2008,2008-07-02,42.7527138,-116.0743669,12839,FW08ID044,ID,Little Jacks Creek,PROB,WMTNS,XER,XE-NORTH,12,12j,10,199.1909943,23.349000930786133,0,9.529375076293945,194.45999145507812
2008,2008-07-02,41.67526583,-86.0758565,9928,FW08IN013,IN,St. Joseph River,PROB,PLNLOW,UMW,NA,56,56b,5,8871.769531,20.064001083374023,0,8.92783260345459,1147.8900146484375
2008,2008-07-02,41.66737013,-85.94200038,11195,FW08IN025,IN,Elkhart River,PROB,PLNLOW,UMW,NA,56,56b,5,1792.290039,20.168001174926758,0,9.10462474822998,1164.0699462890625
2008,2008-07-02,36.70940739,-90.6967141,12763,FW08RMO9003,MO,Little Black River,HAND,EHIGH,SAP,NA,39,39j,7,6.7484598160000004,23.47100067138672,0,13.264750480651855,1459.429931640625
2008,2008-07-02,30.28718756,-98.89560053,11139,FW08TX003,TX,Barons Creek,PROB,PLNLOW,SPL,NA,30,30a,6,39.34460068,24.501001358032227,1.3700000047683716,18.678749084472656,310.0299987792969
2008,2008-07-02,41.27422296,-112.1538854,12243,FW08UT001,UT,Little Weber River,PROB,WMTNS,XER,XE-SOUTH,13,13f,8,11.61590004,26.559001922607422,0,9.751625061035156,653.30999755859375
2008,2008-07-02,39.64842535,-79.98746651,12568,FW08WV027,WV,Monongahela River,PROB,EHIGH,SAP,NA,70,70b,3,6915.490234,18.056001663208008,0,10.970250129699707,1314.52001953125
2008,2008-07-03,34.06954656,-84.53634847,11328,FW08GA015,GA,Noonday Creek,PROB,EHIGH,SAP,NA,45,45a,4,89.62249756,22.928001403808594,0,15.657792091369629,1028.969970703125
2008,2008-07-04,33.92673274,-85.05046408,11330,FW08GA023,GA,Happy Hollow Creek,PROB,EHIGH,SAP,NA,45,45d,4,0.698400021,24.251001358032227,3.4600000381469727,15.493332862854004,1055.699951171875
2008,2008-07-05,31.54151415,-97.41663635,11146,FW08TX017,TX,Middle Bosque River,PROB,PLNLOW,SPL,NA,29,29e,6,305.7430115,28.108001708984375,0,18.94304084777832,807.66998291015625
2008,2008-07-06,34.52674768,-84.09111904,11327,FW08GA003,GA,Hurricane Creek,PROB,EHIGH,SAP,NA,45,45a,4,10.67910004,25.18600082397461,0,14.199707984924316,1295.050048828125
2008,2008-07-06,30.5975647,-98.06989927,11144,FW08TX010,TX,Cow Creek,PROB,PLNLOW,SPL,NA,30,30c,6,51.3207016,26.725000381469727,0,20.039541244506836,479.2900085449219
2008,2008-07-07,38.82241361,-75.43040311,9923,FW08DE015,DE,Tributary to Hudson Pond,PROB,PLNLOW,CPL,NA,63,63f,3,1.269899964,25.005001068115234,10.239999771118164,13.663749694824219,1052.010009765625
2008,2008-07-07,43.00435548,-82.52504024,11210,FW08MI036,MI,Black River,PROB,PLNLOW,TPL,NA,57,57e,5,1762.140015,20.84000015258789,0,8.162083625793457,1102.550048828125
2008,2008-07-07,46.11059188,-106.4503921,11544,FW08MT048,MT,Rosebud Creek,PROB,PLNLOW,NPL,PL-RANGE,43,43n,8,3149.820068,23.003000259399414,2.5799999237060547,7.028625011444092,439.9100036621094
2008,2008-07-07,46.77582075,-101.1706339,12022,FW08ND040,ND,Heart River,PROB,PLNLOW,NPL,PL-RANGE,43,43c,8,7683.910156,24.465002059936523,4.389999866485596,4.935874938964844,470.5199890136719
2008,2008-07-07,35.53755037,-96.31584045,13059,FW08OK007,OK,Buckeye Creek,PROB,PLNLOW,SPL,NA,29,29a,6,52.96789932,28.398000717163086,0,15.68737506866455,1156.050048828125
2008,2008-07-07,44.37292269,-123.8363474,11025,FW08OR019,OR,Alsea River,PROB,WMTNS,WMT,MT-PNW,1,1g,10,838.5780029,16.143001556396484,0,10.116999626159668,1977.56005859375
2008,2008-07-08,38.82969236,-75.64627731,9922,FW08DE008,DE,Tributary to Quarter Branch,PROB,PLNLOW,CPL,NA,63,63f,3,1.251899958,25.397001266479492,0,13.305957794189453,1040.6199951171875
2008,2008-07-08,44.84403732,-113.8166768,12840,FW08ID053,ID,Basin Creek,PROB,WMTNS,WMT,MT-NROCK,17,17e,10,6.027359962,14.439001083374023,0,2.443333387374878,661.8800048828125
2008,2008-07-08,39.01570904,-95.84061299,10007,FW08KS039,KS,Blacksmith Creek,PROB,PLNLOW,TPL,NA,40,40b,7,8.701910019,27.315000534057617,0,11.170416831970215,999.72998046875
2008,2008-07-08,39.18482927,-77.48622904,11485,FW08MD024,MD,Potomac River upstream of Mason,PROB,EHIGH,SAP,NA,64,64a,3,27687.09961,24.917001724243164,0,12.858124732971191,1147.47998046875
2008,2008-07-08,39.92375623,-95.06118003,12712,FW08MO005,MO,Easter Creek,PROB,PLNLOW,TPL,PL-NCULT,47,47f,7,9.533880234,27.612001419067383,4.590000152587891,10.342958450317383,1154.3399658203125
2008,2008-07-08,39.02826524,-93.68118812,12717,FW08MO023,MO,Davis Creek,PROB,PLNLOW,TPL,PL-NCULT,47,47f,7,260.4179993,27.817001342773438,1.0199999809265137,11.04616641998291,1373.68994140625
2008,2008-07-08,46.56603822,-107.9657348,11515,FW08MT029,MT,Musselshell River,PROB,PLNLOW,NPL,PL-RANGE,43,43n,8,12458.90039,20.381000518798828,0,8.125,525.760009765625
2008,2008-07-08,47.04645893,-101.1047038,12017,FW08ND033,ND,Square Butte Creek,PROB,PLNLOW,NPL,PL-RANGE,43,43c,8,516.0089722,20.23900032043457,0,5.096208572387695,411.19000244140625
2008,2008-07-08,43.19317288,-71.52350519,11600,FW08NH010,NH,Merrimack River,PROB,EHIGH,NAP,NA,59,59h,1,6184.549805,24.71000099182129,0,8.129708290100098,1422.949951171875
2008,2008-07-08,40.33695516,-74.93851447,11570,FW08NJ009,NJ,Delaware River near Wash Crossing,PROB,EHIGH,SAP,NA,64,64a,2,17307.59961,24.23900032043457,2.680000066757202,11.95966625213623,1318.1700439453125
2008,2008-07-08,41.32039998,-115.657142,10978,FW08NV041,NV,North Fork Humbolt,PROB,WMTNS,XER,XE-SOUTH,13,13m,9,1419.150024,17.788000106811523,0,5.772708415985107,261.55999755859375
2008,2008-07-08,41.27385024,-118.4605996,10964,FW08NV054,NV,Trout Creek,PROB,WMTNS,XER,XE-SOUTH,13,13k,9,7.536600113,22.315000534057617,0,8.423542022705078,347.58001708984375
2008,2008-07-08,35.80398666,-96.4833534,13070,FW08OK002,OK,Little Deep Fork,PROB,PLNLOW,SPL,NA,29,29a,6,182.6360016,28.57200050354004,0,15.161375045776367,970.82000732421875
2008,2008-07-08,44.80638327,-123.9729588,11031,FW08OR035,OR,Siletz River,PROB,WMTNS,WMT,MT-PNW,1,1b,10,702.5239868,15.576001167297363,0,10.113207817077637,1789.5699462890625
2008,2008-07-08,37.51602934,-89.38047036,12186,FW08RIL2ICE01,IL,Hutchins Creek,HAND,PLNLOW,TPL,NA,72,72g,5,50.84320068,27.940000534057617,0,12.901374816894531,1577.4200439453125
2008,2008-07-08,42.76731871,-103.927579,12765,FW08RNE9010,NE,Monroe Creek,HAND,PLNLOW,SPL,PL-NCULT,25,25a,7,10.26449966,20.158000946044922,0,6.646458148956299,408.17999267578125
2008,2008-07-08,42.6905792,-103.5487203,12766,FW08RNE9011,NE,Middle Fork Soldier Creek,HAND,PLNLOW,SPL,PL-NCULT,25,25a,7,29.27770042,22.019001007080078,0,7.454166412353516,500.010009765625
2008,2008-07-08,30.87365616,-97.62101278,11151,FW08TX031,TX,Salado Creek,PROB,PLNLOW,SPL,NA,29,29e,6,159.8990021,27.60700225830078,6.409999847412109,19.647167205810547,565.72003173828125
2008,2008-07-08,44.28115936,-72.45384929,12345,FW08VT001,VT,Winooski River,PROB,EHIGH,NAP,NA,58,58l,1,431.0079956,23.817001342773438,0,6.553625106811523,1280.93994140625
2008,2008-07-09,37.06135096,-105.982904,11098,FW08CO073,CO,Rio San Antonio,PROB,WMTNS,XER,XE-EPLAT,22,22b,8,835.8049927,15.383000373840332,0.5799999833106995,4.97866678237915,197.33999633789062
2008,2008-07-09,32.0082543,-83.29546049,11329,FW08GA018,GA,Ocmulgee River,PROB,PLNLOW,CPL,NA,65,65p,4,11513.90039,26.87200164794922,0,18.117542266845703,1115.5999755859375
2008,2008-07-09,45.02324849,-114.4461665,12834,FW08ID007,ID,Shovel Creek,PROB,WMTNS,WMT,MT-NROCK,16,16k,10,6.079500198,15.111001014709473,0,2.6262500286102295,510.33001708984375
2008,2008-07-09,38.27006247,-75.27663014,11492,FW08MD005,MD,Massey Branch,PROB,PLNLOW,CPL,NA,63,63f,3,1.346400023,25.176000595092773,4.230000019073486,14.454583168029785,1264.280029296875
2008,2008-07-09,43.34147415,-83.6244102,11203,FW08MI024,MI,Cass River,PROB,PLNLOW,TPL,NA,57,57e,5,1977.050049,24.17300033569336,0,7.636000156402588,997.32000732421875
2008,2008-07-09,39.73426795,-93.94027089,12716,FW08MO012,MO,Unnamed,PROB,PLNLOW,TPL,NA,40,40a,7,5.396550179,24.501001358032227,3.299999952316284,9.557624816894531,1164.1700439453125
2008,2008-07-09,37.42968171,-93.24450517,12721,FW08MO044,MO,Unnamed,PROB,EHIGH,SAP,NA,39,39a,7,2.290499926,24.979001998901367,11.029999732971191,12.467499732971191,1650.9100341796875
2008,2008-07-09,46.99020188,-102.8888491,11988,FW08ND015,ND,Green River,PROB,PLNLOW,NPL,PL-RANGE,43,43a,8,605.2819824,17.6820011138916,0,5.3423333168029785,354.0899963378906
2008,2008-07-09,40.90311286,-115.224256,10858,FW08NV004,NV,Reed Creek,PROB,WMTNS,XER,XE-SOUTH,13,13n,9,1.981930017,15.75100040435791,0,4.567999839782715,710.1199951171875
2008,2008-07-09,45.30045298,-123.4774717,11017,FW08OR009,OR,Tributary to Nestucca River,PROB,WMTNS,WMT,MT-PNW,1,1d,10,6.377399921,22.4320011138916,0,8.746458053588867,2079.72998046875
2008,2008-07-09,37.50634045,-88.53683713,12194,FW08RIL2AK07,IL,Lusk Creek,HAND,EHIGH,SAP,NA,71,71n,5,45.79119873,26.810001373291016,11.960000038146973,12.917333602905273,1473.469970703125
2008,2008-07-09,39.73790724,-101.8768828,12759,FW08RKS9003,KS,South Fork Republican River,HAND,PLNLOW,SPL,PL-NCULT,25,25c,7,5598.839844,21.83500099182129,0,10.421000480651855,507.44000244140625
2008,2008-07-09,40.48034137,-101.583417,12788,FW08RNE9024,NE,Frenchman Creek,HAND,PLNLOW,SPL,PL-NCULT,25,25c,7,2722.070068,22.917001724243164,18.329999923706055,9.695791244506836,562.65997314453125
2008,2008-07-09,42.44965649,-103.2627373,12768,FW08RNE9999,NE,Niobrara River,HAND,PLNLOW,SPL,PL-NCULT,25,25g,7,3519.75,22.046001434326172,3.9100000858306885,7.682250022888184,370.9700012207031
2008,2008-07-09,32.28043629,-97.97061693,11140,FW08TX004,TX,Richardson Creek,PROB,PLNLOW,SPL,NA,29,29e,6,116.4250031,28.3700008392334,0,18.272541046142578,580.489990234375
2008,2008-07-09,37.55193806,-113.4090686,12245,FW08UT003,UT,Little Pinto Creek,PROB,WMTNS,XER,XE-SOUTH,13,13d,8,19.8192997,21.589000701904297,0,8.7979583740234375,486.28997802734375
2008,2008-07-09,48.9560789,-119.6933195,15847,FW08WA015,WA,Similkameen River,PROB,WMTNS,XER,XE-NORTH,10,10m,10,8340.629883,22.61600112915039,0,8.501291275024414,254.27999877929687
2008,2008-07-10,41.15722367,-86.58538781,11189,FW08IN017,IN,Tippecanoe River,PROB,PLNLOW,UMW,NA,56,56c,5,2260.540039,21.41900062561035,0,8.9017915725708,1270.4500732421875
2008,2008-07-10,38.68907843,-75.76990034,11471,FW08MD006,MD,Marshyhope Creek,PROB,PLNLOW,CPL,NA,63,63f,3,399.7359924,24.61100196838379,20.93000030517578,13.762624740600586,1093.8299560546875
2008,2008-07-10,43.05631052,-85.594206,11201,FW08MI019,MI,Grand River Belmont,PROB,PLNLOW,UMW,NA,56,56g,5,12405.7998,19.135000228881836,0,8.23670768737793,1160.5799560546875
2008,2008-07-10,47.0151948,-108.1650054,11523,FW08MT045,MT,Box Elder Creek,PROB,PLNLOW,NPL,PL-RANGE,43,43n,8,1745.550049,22.934001922607422,0,7.355082988739014,366.7799987792969
2008,2008-07-10,43.4326433,-71.65002274,11594,FW08NH014,NH,Merrimack River at Franklin,PROB,EHIGH,NAP,NA,58,58g,1,3908.050049,25.35500144958496,5.159999847412109,7.600958347320557,1437.8699951171875
2008,2008-07-10,40.394948,-116.1206756,10990,FW08NV063,NV,Pine Creek,PROB,WMTNS,XER,XE-SOUTH,13,13r,9,1865.560059,20.282001495361328,0,7.248374938964844,208.5399932861328
